"No.","Time","Source","Destination","Protocol","Length","Info","wlan.qos.priority","wlan.fc.type_subtype"
"1255","50.424652139","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=3163, FN=0, Flags=.......TC","","Null function (No data)"
"1259","50.424733693","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","167","QoS Data, SN=3706, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"1266","50.428102124","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","159","QoS Data, SN=3707, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"1271","50.521301600","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=3164, FN=0, Flags=...P...TC","","Null function (No data)"
"1287","50.821461797","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=3165, FN=0, Flags=.......TC","","Null function (No data)"
"1291","50.821511143","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","159","QoS Data, SN=3708, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"1296","50.836426000","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","155","QoS Data, SN=3709, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"1301","50.868014661","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3710, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"1305","50.873387739","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","664","QoS Data, SN=3711, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"1312","50.899949336","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3712, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"1318","50.903352541","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3713, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"1322","50.906727207","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3714, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"1326","50.937895364","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","211","QoS Data, SN=3715, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"1333","50.968038521","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","1090","QoS Data, SN=3716, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"1339","51.044066354","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3717, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"1344","51.068051225","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3718, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"1347","51.156017469","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=3166, FN=0, Flags=...P...TC","","Null function (No data)"
"1350","51.202123560","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=3167, FN=0, Flags=.......TC","","Null function (No data)"
"1357","51.512175041","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=3168, FN=0, Flags=...P...TC","","Null function (No data)"
"1433","54.710100877","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=3169, FN=0, Flags=.......TC","","Null function (No data)"
"1437","54.710139091","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","155","QoS Data, SN=3719, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"1438","54.710145033","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","155","QoS Data, SN=3720, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
