"No.","Time","Source","Destination","Protocol","Length","Info","wlan.qos.priority","wlan.fc.type_subtype"
"149052","628.665849257","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","167","QoS Data, SN=3653, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"149085","628.757849522","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=1749, FN=0, Flags=.......TC","","Null function (No data)"
"149086","628.757865184","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=1749, FN=0, Flags=....R..TC","","Null function (No data)"
"149267","629.079620248","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=1750, FN=0, Flags=...P...TC","","Null function (No data)"
"150043","630.903084996","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=1751, FN=0, Flags=.......TC","","Null function (No data)"
"150047","630.903172558","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","1373","QoS Data, SN=3654, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"150048","630.906206013","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","1373","QoS Data, SN=3655, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"150049","630.906245843","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","1373","QoS Data, SN=3656, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"150050","630.906261012","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","166","QoS Data, SN=3657, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"150051","630.906274175","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","165","QoS Data, SN=3658, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"150064","630.998500625","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","159","QoS Data, SN=3659, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"150082","631.025879613","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","155","QoS Data, SN=3660, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
