sample_no,No.,Time,Source,Destination,Protocol,Length,Info,avrg_len,var_len,IAT,avrg_IAT,var_IAT,count,upload_count
115,117097,243.224799724,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,1373,"QoS Data, SN=1418, FN=0, Flags=.p.....TC",402.46153846153845,170806.4984615384,3.1228741190000164,0.15797548084615387,0.39024938535450787,26,26
118,118718,250.177463622,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,155,"QoS Data, SN=1429, FN=0, Flags=.p.....TC",362.85714285714283,201673.6703296703,5.968175515000013,0.4307365927857144,2.5401819449491825,14,14
119,118793,250.250275431,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,221,"QoS Data, SN=1443, FN=0, Flags=.p.....TC",710.452380952381,313176.9217142858,0.010675025000011829,0.015924200325396928,0.020759217423271036,126,126
120,119483,252.252417023,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,186,"QoS Data, SN=1497, FN=0, Flags=.p..R..TC",422.32710280373834,228927.6561453007,0.006367375999985825,0.01769511574766336,0.008235410201203292,107,107
121,120349,254.71847824,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,153,"QoS Data, SN=1535, FN=0, Flags=.p.....TC",590.4736842105264,336282.7076023391,0.5790512080000099,0.04489858447368533,0.01792777784401715,19,19
122,120656,256.247620093,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,156,"QoS Data, SN=1566, FN=0, Flags=.p.....TC",1011.2380952380952,263883.49047619046,1.2551199560000157,0.0683778426666655,0.07511213267214294,21,21
123,121123,259.142084829,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,175,"QoS Data, SN=1608, FN=0, Flags=.p.....TC",351.44444444444446,141311.46644106042,2.713649996000015,0.018705732383838578,0.0374058368822482,198,198
124,121792,260.247702408,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,141,"QoS Data, SN=53, FN=0, Flags=.p.....TC",451.32608695652175,248871.76964426876,0.11553256299998793,0.0076526263442028685,0.0005728964091966309,276,274
125,122857,262.288851619,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,147,"QoS Data, SN=1843, FN=0, Flags=.p.....TC",421.9425287356322,189089.25679356855,0.04455690300000015,0.010975706936781682,0.0005883042655509861,174,174
126,123903,264.311408768,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,1373,"QoS Data, SN=1906, FN=0, Flags=.p.....TC",494.4611650485437,182913.96677717264,0.15734104499995283,0.009971046582524023,0.0007150253073893029,206,206
127,124816,266.258389591,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,244,"QoS Data, SN=1986, FN=0, Flags=.p..R..TC",254.30351437699682,73439.59027607109,0.05028627200005076,0.006506069629393077,0.0006493232979531829,313,312
